T(K),Na2O,MgO,Al2O3,SiO2,K2O,CaO,TiO2,MnO,FeO,Fe2O3,GAMMA
1573,0.033024388,0.001156786,0.135865707,0.748248061,0.035441969,0.016215668,0.001884489,0.000734209,0.017351797,0.009688087,1.524861136
1573,0.06347633,0.128619356,0.160908914,0.432487165,0.013916806,0.089515303,0.016599868,0.001395458,0.074279816,0.013810091,0.910078685
1573,0.054571174,0.090490333,0.047815897,0.550389762,0.013039246,0.108410565,0.019919369,0.001890829,0.093008387,0.016278684,0.924900242
1573,0.039944981,0.141657563,0.165843,0.446394075,0.003058098,0.116682396,0.005195583,0.001247526,0.06910125,0.00884496,0.992552029
1573,0.069022394,0.111696473,0.168579992,0.441057866,0.018752694,0.085029484,0.015073748,0.001485497,0.073217084,0.010878627,0.892003137
1573,0.052453378,0.12490801,0.104917433,0.413921889,0.051356657,0.11594582,0.032362876,0.001666519,0.077911215,0.017723434,0.686228909
1573,0.058566819,0.11451425,0.159163241,0.429648214,0.011458808,0.114415104,0.017115823,0.001487897,0.075186124,0.011173815,0.887739785
1573,0.020930033,0.135559341,0.090759103,0.397891771,0.064340768,0.149897349,0.036588216,0.001715879,0.074184302,0.019551828,0.657853828
1573,0.073788256,0.080692602,0.176064428,0.519072004,0.013922099,0.073053415,0.005374615,0.001008214,0.047731286,0.006804572,1.010347812
1573,0.053244335,0.116869529,0.185062426,0.449753827,0.002946192,0.1082052,0.007634993,0.001328072,0.066158369,0.007062021,0.976847462
1573,0.050423068,0.055983909,0.193460219,0.455077125,0.082436808,0.084035253,0.00722391,0.00140724,0.052658133,0.010808775,0.721153761
1573,0.075531938,0.094348277,0.171979341,0.481887843,0.008557135,0.073097779,0.01505071,0.000699358,0.065423988,0.010605573,0.986219227
1573,0.073631453,0.099521364,0.179989148,0.42766428,0.024398899,0.102875798,0.016012596,0.001540397,0.059536862,0.009692753,0.799560164
1566,0.066847506,0.07672477,0.167720707,0.386486365,0.025879446,0.140980508,0.033377771,0.002382726,0.072188545,0.01386677,0.734049775
1566,0.069284312,0.07935134,0.144705001,0.364044135,0.04056756,0.173643645,0.021082213,0.002847437,0.06869639,0.018926556,0.595107906
1566,0.093610068,0.014727749,0.217440194,0.538562888,0.048512209,0.032728332,0.009022848,0.001538709,0.030758571,0.008727555,0.924160808
1573,0.071885744,0.024684034,0.199657038,0.5390037,0.064783487,0.039892394,0.012027336,0.001011394,0.036390181,0.006688132,0.898819026
1575,0.049475776,0.000728968,0.092164448,0.725080355,0.054470984,0.003853118,0.002265465,0.00238534,0.046896953,0.022525117,1.210260685
1575,0.076559164,0.003767197,0.207776214,0.600778222,0.081985199,0.011916643,0.002292959,0.000834962,0.011436134,0.002556312,0.913232179
1575,0.03682511,0.002927124,0.12902304,0.71695027,0.056175872,0.003658905,0.004034883,0.002229403,0.04163021,0.006439673,1.329775602
1575,0.074636539,0.005812008,0.222061034,0.596791741,0.057354567,0.007610963,0.005410391,0.001717566,0.022371618,0.005535246,1.084862411
1575,0.059515524,0.013337214,0.199186494,0.583132625,0.070942627,0.023121807,0.007103153,0.001018946,0.033420217,0.006043425,1.007733606
1575,0.073015124,0.016227074,0.223975508,0.554679315,0.04686051,0.033484439,0.008550994,0.001721436,0.03251579,0.005270332,1.045871933
1575,0.055829254,0.08013059,0.148690761,0.37460695,0.029798005,0.174859953,0.021688056,0.002971019,0.075750054,0.021989656,0.662350177
1575,0.060304672,0.043797622,0.169889668,0.561859594,0.016434156,0.069064713,0.006242425,0.001420995,0.061024376,0.007696068,1.116497481
1575,0.058902462,0.059905848,0.142762051,0.487407036,0.009191773,0.086608386,0.023820284,0.002518554,0.104083211,0.015768486,1.044771582
